,Ticker,Beta
0,APA,3.51
1,CZR,2.88
2,NCLH,2.51
3,RCL,2.49
4,MRO,2.41
5,DVN,2.39
6,TRGP,2.28
7,HAL,2.14
8,TSLA,2.11
9,MGM,2.07
10,APTV,2.04
11,FANG,2.02
12,WYNN,2.01
13,FCX,2.0
14,AMD,1.95
15,DXCM,1.12
16,URI,1.87
17,ETSY,1.86
18,PANW,1.16
19,OXY,1.8
20,SLB,1.8
21,NVDA,1.79
22,KVUE,0.00
23,BBWI,1.76
24,ON,1.76
25,PARA,1.65
26,WDC,1.65
27,MRNA,1.64
28,HCA,1.63
29,SYF,1.63
30,VLO,1.63
31,OKE,1.62
32,EXPE,1.61
33,AMAT,1.61
34,ZBRA,1.61
35,NUE,1.6
36,STT,1.6
37,MPC,1.6
38,ALGN,1.6
39,C,1.59
40,TRMB,1.59
41,MCHP,1.59
42,MAR,1.59
43,ALB,1.58
44,MOS,1.56
45,HES,1.56
46,EPAM,1.56
47,AAL,1.55
48,PH,1.55
49,ALK,1.54
50,TER,1.54
51,SPG,1.54
52,DHI,1.53
53,BBY,1.53
54,STLD,1.53
55,EOG,1.52
56,F,1.52
57,ADSK,1.51
58,NXPI,1.51
59,WBD,1.51
60,WHR,1.5
61,COF,1.49
62,AMP,1.49
63,EMN,1.48
64,WY,1.48
65,LRCX,1.47
66,WAB,1.47
67,TXT,1.47
68,ROK,1.46
69,KMX,1.46
70,BKR,1.45
71,DFS,1.45
72,KIM,1.45
73,IR,1.45
74,EFX,1.45
75,CDAY,1.45
76,MTCH,1.45
77,UAL,1.44
78,BA,1.44
79,PXD,1.42
80,TPR,1.42
81,QRVO,1.42
82,LEN,1.42
83,BAC,1.41
84,BWA,1.41
85,PRU,1.41
86,GS,1.41
87,RL,1.4
88,IQV,1.39
89,PSX,1.39
90,TDG,1.39
91,GM,1.38
92,CBRE,1.38
93,LKQ,1.37
94,EMR,1.37
95,FSLR,1.36
96,CRL,1.36
97,KLAC,1.36
98,IVZ,1.36
99,DOV,1.35
100,HWM,1.35
101,MU,1.34
102,PAYC,1.34
103,MS,1.34
104,ENPH,1.34
105,CFG,1.34
106,FDX,1.34
107,PHM,1.34
108,EBAY,1.33
109,DOW,1.33
110,ULTA,1.32
111,IT,1.32
112,HST,1.32
113,CTAS,1.32
114,SEDG,1.32
115,BKNG,1.31
116,TEL,1.31
117,PFG,1.31
118,RHI,1.31
119,SWK,1.31
120,BEN,1.31
121,COP,1.31
122,CMG,1.3
123,AAPL,1.3
124,CE,1.3
125,PYPL,1.3
126,NWS,1.3
127,TROW,1.3
128,NSC,1.3
129,DIS,1.3
130,BLK,1.3
131,NWSA,1.3
132,KEY,1.29
133,LYV,1.29
134,QCOM,1.29
135,ISRG,1.28
136,MHK,1.28
137,ADBE,1.27
138,FICO,1.27
139,MCO,1.26
140,CTLT,1.26
141,NFLX,1.26
142,DAL,1.26
143,AOS,1.26
144,AMZN,1.25
145,APH,1.25
146,DD,1.25
147,SWKS,1.25
148,HLT,1.25
149,SEE,1.25
150,JCI,1.24
151,ACN,1.24
152,ANSS,1.24
153,UHS,1.24
154,ANET,1.24
155,VTR,1.23
156,FITB,1.23
157,LYB,1.23
158,RF,1.23
159,CMA,1.23
160,GE,1.23
161,CSX,1.22
162,WMB,1.22
163,AME,1.22
164,DRI,1.22
165,FRT,1.22
166,CPRT,1.21
167,MAS,1.21
168,FLT,1.21
169,TECH,1.21
170,SNPS,1.2
171,HPE,1.2
172,WFC,1.2
173,AXP,1.2
174,GWW,1.2
175,GNRC,1.19
176,CRM,1.19
177,EQT,1.19
178,TT,1.19
179,MTD,1.18
180,VTRS,1.18
181,META,1.18
182,PPG,1.18
183,CARR,1.17
184,FAST,1.17
185,IDXX,1.17
186,LVS,1.17
187,NTAP,1.17
188,REG,1.16
189,WRK,1.16
190,AIG,1.16
191,CVX,1.16
192,FTV,1.16
193,PTC,1.15
194,WST,1.15
195,INTU,1.15
196,ZION,1.15
197,ETN,1.15
198,MPWR,1.14
199,LUV,1.14
200,ADI,1.14
201,HUBB,0.90
202,HBAN,1.14
203,ILMN,1.13
204,FTNT,1.13
205,ITW,1.13
206,CDW,1.13
207,JBHT,1.13
208,AVGO,1.12
209,PWR,1.12
210,LOW,1.12
211,PNC,1.12
212,MSCI,1.12
213,CHTR,1.12
214,SNA,1.12
215,UPS,1.12
217,IPG,1.11
218,UNP,1.11
219,ABNB,1.23
220,BXP,1.11
221,PCG,1.11
222,JPM,1.1
223,ALLE,1.1
224,XOM,1.1
225,PNR,1.1
226,HON,1.1
227,CAT,1.1
228,SYY,1.09
229,ODFL,1.09
230,NKE,1.09
231,TFC,1.09
232,GOOGL,1.09
233,GOOG,1.09
234,BK,1.09
235,STX,1.09
236,NTRS,1.09
237,GLW,1.08
239,SPGI,1.08
240,TDY,1.08
241,MET,1.08
242,MA,1.08
243,WELL,1.07
244,FFIV,1.07
245,IFF,1.07
246,SHW,1.07
247,CTSH,1.07
248,CDNS,1.07
249,RJF,1.06
250,DE,1.06
251,CF,1.05
252,A,1.05
253,LH,1.05
254,XYL,1.05
255,KEYS,1.04
256,GEN,1.04
257,TGT,1.04
258,IP,1.03
259,ROP,1.03
260,HOLX,1.03
261,HPQ,1.03
262,ZBH,1.02
263,STZ,1.01
264,ORCL,1.01
265,TXN,1.01
266,CMI,1.01
267,VICI,1.0
268,NVR,1.0
269,PLD,1.0
270,GPN,1.0
271,ECL,1.0
272,CMCSA,1.0
273,EW,1.0
274,USB,1.0
275,AVY,0.99
276,NOW,0.99
277,TFX,0.99
278,EXPD,0.98
279,BR,0.98
280,IEX,0.98
281,ROST,0.98
282,YUM,0.98
283,PAYX,0.98
284,VFC,0.97
285,DVA,0.97
286,VRSN,0.97
287,GRMN,0.96
288,EL,0.96
289,NRG,0.96
290,ARE,0.96
291,V,0.96
292,MMM,0.96
293,GPC,0.95
294,CSCO,0.95
295,PCAR,0.95
296,NDAQ,0.95
297,XRAY,0.95
298,SYK,0.94
299,IRM,0.94
300,AFL,0.94
301,KMI,0.94
302,HD,0.94
303,JNPR,0.93
304,MSI,0.93
305,DGX,0.93
306,SCHW,0.93
307,AES,0.93
308,BIO,0.93
309,AVB,0.92
310,MSFT,0.92
311,SBUX,0.92
312,ICE,0.92
313,COR,0.54
314,ORLY,0.91
315,POOL,0.91
316,NDSN,0.91
317,MMC,0.9
318,PKG,0.9
319,MLM,0.89
320,COO,0.89
321,INVH,0.89
322,AON,0.89
323,HIG,0.89
324,FOX,0.88
325,J,0.88
326,MNST,0.88
327,BRK-B,0.88
328,TAP,0.88
329,LIN,0.88
330,PEAK,0.88
331,FOXA,0.88
332,TJX,0.88
333,TSCO,0.87
334,CNP,0.87
335,FMC,0.87
336,WAT,0.86
337,CSGP,0.86
338,ELV,0.86
339,OMC,0.86
340,FI,0.86
341,APD,0.86
342,IBM,0.85
343,AMCR,0.85
344,STE,0.85
345,FIS,0.83
346,L,0.83
347,EA,0.83
348,OTIS,0.82
349,ADP,0.82
350,EQR,0.82
351,FDS,0.82
352,GD,0.82
353,VRSK,0.82
354,GL,0.82
355,CPT,0.81
356,MTB,0.81
357,TYL,0.81
358,DHR,0.8
359,CHRW,0.8
360,PPL,0.8
361,O,0.8
362,TMO,0.79
363,HSIC,0.79
364,COST,0.79
365,ADM,0.79
366,BSX,0.79
367,CTVA,0.79
368,EIX,0.79
369,VMC,0.79
370,INTC,0.78
371,AKAM,0.78
372,LDOS,0.78
373,BALL,0.78
374,MAA,0.77
375,ESS,0.77
376,CAH,0.77
377,T,0.76
378,WTW,0.75
379,UDR,0.75
380,BRO,0.75
381,ZTS,0.74
382,ACGL,0.74
383,PODD,0.74
384,RTX,0.74
385,MKTX,0.74
386,MDT,0.73
387,WBA,0.73
388,KHC,0.73
389,TSN,0.73
390,INCY,0.73
391,HUM,0.72
392,TTWO,0.72
393,WM,0.72
394,DPZ,0.72
395,HAS,0.72
396,LHX,0.71
397,PM,0.71
398,SRE,0.71
399,DLTR,0.7
400,BF-B,0.7
401,AJG,0.7
402,AZO,0.69
403,UNH,0.69
404,MOH,0.69
405,LMT,0.68
406,CI,0.68
407,CB,0.67
408,RSG,0.67
409,ABT,0.67
410,BG,0.66
411,CCI,0.66
412,MO,0.66
413,MDLZ,0.66
414,CINF,0.65
415,CVS,0.65
416,AMGN,0.65
417,MCD,0.64
418,JKHY,0.64
419,TRV,0.64
420,EQIX,0.63
421,ETR,0.63
422,ROL,0.63
423,WRB,0.62
424,ATO,0.61
425,EG,0.61
426,MCK,0.61
427,HII,0.6
428,ABBV,0.59
429,EXC,0.59
430,DTE,0.59
431,ALL,0.59
432,PFE,0.58
433,PEG,0.58
434,KDP,0.58
435,PEP,0.57
436,BAX,0.56
437,BDX,0.56
438,CNC,0.56
439,AMT,0.56
440,KO,0.56
441,EXR,0.56
442,AWK,0.56
443,TMUS,0.56
444,DLR,0.55
445,MKC,0.55
446,JNJ,0.54
447,CAG,0.54
448,LULU,1.35
449,LW,0.53
450,WMT,0.53
451,AIZ,0.53
452,LNT,0.51
453,NOC,0.5
454,KR,0.49
455,SBAC,0.49
456,CBOE,0.48
457,SO,0.48
458,PGR,0.48
459,ES,0.47
460,EVRG,0.47
461,CL,0.47
462,NI,0.47
463,RMD,0.47
464,VRTX,0.46
465,CHD,0.45
466,BMY,0.45
467,D,0.45
468,AEP,0.44
469,NEE,0.44
470,CME,0.43
471,PNW,0.43
472,PSA,0.43
473,AEE,0.43
474,K,0.42
475,XEL,0.42
476,BX,1.43
477,KMB,0.42
478,FE,0.42
479,DUK,0.41
480,GILD,0.41
481,PG,0.4
482,WEC,0.39
483,MRK,0.37
484,ED,0.35
485,HSY,0.35
486,LLY,0.35
487,VZ,0.34
488,DG,0.34
489,CMS,0.33
490,CPB,0.32
491,GIS,0.3
492,NEM,0.3
493,CLX,0.27
494,CTRA,0.26
495,REGN,0.24
496,SJM,0.21
497,BIIB,0.19
498,HRL,0.18
499,VLTO,0.0
500,GEHC,0.0
501,CCL,0.0
502,CEG,0.0
503,AXON,0.0
504,RVTY,0.0
